measure,quantile,infections,cancers,group,n_ranked,n_infections,n_cancers,cancers_unattributed_frac,spearman_theta_vs_rships,spearman_theta_vs_rship_rate,Seed
gini,,0.10073282294628372,,all,442476,2198067628.2373047,552924.6976776123,0.24065316545510626,0.26675882767382186,0.45669142772434423,4
direct,0.01,0.062257200598287585,0.08545393182585218,all,441854,2171963159.475586,543221.304309845,0.23293986635203368,0.26718300003305734,0.4574082809185735,5
direct,0.02,0.0941471199158283,0.1263584205197435,all,441854,2171963159.475586,543221.304309845,0.23293986635203368,0.26718300003305734,0.4574082809185735,5
direct,0.05,0.16366972666969254,0.20296996287546407,all,441854,2171963159.475586,543221.304309845,0.23293986635203368,0.26718300003305734,0.4574082809185735,5
direct,0.1,0.2468457282085448,0.29652379345258184,all,441854,2171963159.475586,543221.304309845,0.23293986635203368,0.26718300003305734,0.4574082809185735,5
direct,0.2,0.37493624327414266,0.4343570705366183,all,441854,2171963159.475586,543221.304309845,0.23293986635203368,0.26718300003305734,0.4574082809185735,5
direct,0.5,0.651666289155191,0.698886263921701,all,441854,2171963159.475586,543221.304309845,0.23293986635203368,0.26718300003305734,0.4574082809185735,5
downstream_gen0,0.01,0.06168980612117711,0.08457645278711656,all,441854,2171963159.475586,543221.304309845,0.23293986635203368,0.26718300003305734,0.4574082809185735,5
downstream_gen1,0.01,0.12499004800035737,0.13742830031855177,all,441854,2171963159.475586,543221.304309845,0.23293986635203368,0.26718300003305734,0.4574082809185735,5
downstream_gen2,0.01,0.17391800512489441,0.1927101191648982,all,441854,2171963159.475586,543221.304309845,0.23293986635203368,0.26718300003305734,0.4574082809185735,5
downstream_gen3,0.01,0.21937748378773816,0.22544721835964096,all,441854,2171963159.475586,543221.304309845,0.23293986635203368,0.26718300003305734,0.4574082809185735,5
downstream_gen0,0.02,0.09406959091436697,0.12629093689573542,all,441854,2171963159.475586,543221.304309845,0.23293986635203368,0.26718300003305734,0.4574082809185735,5
downstream_gen1,0.02,0.18675142601536907,0.2026999970657255,all,441854,2171963159.475586,543221.304309845,0.23293986635203368,0.26718300003305734,0.4574082809185735,5
downstream_gen2,0.02,0.2548042545099903,0.27681408818750686,all,441854,2171963159.475586,543221.304309845,0.23293986635203368,0.26718300003305734,0.4574082809185735,5
downstream_gen3,0.02,0.31559907102168927,0.3223085292190039,all,441854,2171963159.475586,543221.304309845,0.23293986635203368,0.26718300003305734,0.4574082809185735,5
downstream_gen0,0.05,0.16386664868834894,0.20317249057105294,all,441854,2171963159.475586,543221.304309845,0.23293986635203368,0.26718300003305734,0.4574082809185735,5
downstream_gen1,0.05,0.30986697242004274,0.32284852170627976,all,441854,2171963159.475586,543221.304309845,0.23293986635203368,0.26718300003305734,0.4574082809185735,5
downstream_gen2,0.05,0.409015633087586,0.4265947385933702,all,441854,2171963159.475586,543221.304309845,0.23293986635203368,0.26718300003305734,0.4574082809185735,5
downstream_gen3,0.05,0.4905651411278073,0.48916645863166663,all,441854,2171963159.475586,543221.304309845,0.23293986635203368,0.26718300003305734,0.4574082809185735,5
